               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.041065,            0.011573,           0.0064018,             0.74259,             0.83373,             0.80348,             0.35423,             0.03833,           0.0056646,           0.0093904,           0.0082483,           0.0082483,           0.0082483
                  95,            0.041873,            0.011774,           0.0067567,             0.78199,             0.83772,             0.83216,             0.36764,            0.038263,           0.0052754,            0.010694,           0.0082136,           0.0082136,           0.0082136
                  96,            0.041351,            0.011763,           0.0070806,             0.80778,             0.79038,             0.79814,             0.36806,            0.038505,           0.0053904,            0.012343,           0.0081786,           0.0081786,           0.0081786
                  97,            0.041873,            0.011727,           0.0068069,             0.85279,             0.74155,             0.79854,             0.38423,            0.037119,           0.0057935,            0.010652,           0.0081433,           0.0081433,           0.0081433
                  98,            0.040723,            0.011439,           0.0065558,             0.83292,              0.7827,             0.84494,             0.38291,            0.036302,           0.0053387,            0.011659,           0.0081078,           0.0081078,           0.0081078
                  99,            0.041314,            0.011565,           0.0066872,             0.75502,             0.77419,             0.76892,             0.34197,              0.0393,           0.0057024,            0.012908,           0.0080721,           0.0080721,           0.0080721
                 100,            0.041391,            0.011553,           0.0066785,             0.77802,             0.76319,             0.79694,             0.35217,            0.038024,           0.0054022,            0.013139,           0.0080362,           0.0080362,           0.0080362
                 101,            0.040933,            0.011386,           0.0065128,             0.76554,             0.79877,             0.81592,             0.38158,             0.03611,           0.0052181,            0.011642,               0.008,               0.008,               0.008
                 102,            0.040917,            0.011297,           0.0062326,             0.84376,             0.76843,             0.83553,              0.3971,            0.035134,           0.0052543,            0.011917,           0.0079636,           0.0079636,           0.0079636
                 103,            0.040672,            0.011603,           0.0068162,             0.88779,             0.75646,             0.84375,             0.38274,            0.037064,           0.0052718,            0.010495,            0.007927,            0.007927,            0.007927
                 104,            0.040648,            0.011453,           0.0069098,             0.85192,             0.77181,             0.84596,             0.41219,            0.035257,           0.0050757,            0.010992,           0.0078902,           0.0078902,           0.0078902
