               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.022575,            0.011177,           0.0035486,             0.95066,             0.93029,             0.96972,             0.72912,            0.020366,           0.0043412,            0.016591,           0.0087075,           0.0087075,           0.0087075
                  81,             0.02264,            0.011261,           0.0037414,             0.91891,             0.94538,             0.96876,             0.69721,            0.020555,           0.0049025,            0.017003,           0.0086765,           0.0086765,           0.0086765
                  82,            0.022514,            0.011222,           0.0036689,             0.92361,             0.94067,             0.96134,             0.66319,            0.020769,            0.004697,            0.016004,           0.0086452,           0.0086452,           0.0086452
                  83,            0.022632,             0.01118,           0.0033458,             0.93172,             0.91946,             0.97189,             0.69337,            0.020521,           0.0044301,            0.015116,           0.0086137,           0.0086137,           0.0086137
                  84,            0.022531,            0.011121,           0.0033272,             0.87849,             0.86846,             0.96436,             0.69621,            0.020517,           0.0045967,            0.023198,           0.0085818,           0.0085818,           0.0085818
                  85,            0.022359,            0.011202,            0.003256,             0.91019,             0.89803,             0.96802,             0.74104,            0.019221,           0.0042896,            0.018275,           0.0085497,           0.0085497,           0.0085497
                  86,            0.022229,            0.011034,           0.0032155,              0.9335,             0.92502,              0.9686,             0.67935,            0.019743,           0.0047108,            0.022901,           0.0085173,           0.0085173,           0.0085173
                  87,            0.022619,            0.011004,           0.0034096,             0.89703,             0.89419,              0.9564,             0.66628,            0.021795,           0.0047531,            0.021734,           0.0084846,           0.0084846,           0.0084846
                  88,            0.022734,            0.011292,           0.0035406,              0.9521,             0.92304,               0.966,             0.71839,            0.020154,           0.0043786,            0.024133,           0.0084516,           0.0084516,           0.0084516
                  89,            0.022117,            0.011161,           0.0034465,             0.92991,             0.88695,             0.94204,             0.67822,            0.021475,           0.0045659,            0.026324,           0.0084184,           0.0084184,           0.0084184
                  90,            0.022349,            0.011007,            0.003404,             0.92275,             0.89597,             0.94698,             0.67019,            0.022132,           0.0050287,            0.027279,           0.0083849,           0.0083849,           0.0083849
                  91,            0.022078,             0.01104,           0.0033913,             0.95542,              0.9364,             0.97262,             0.71209,             0.02003,           0.0045744,            0.017577,           0.0083511,           0.0083511,           0.0083511
                  92,            0.022202,            0.011093,           0.0034352,             0.89651,             0.94097,             0.96087,             0.69952,            0.020203,           0.0042195,            0.024023,           0.0083171,           0.0083171,           0.0083171
                  93,            0.021761,            0.010822,           0.0029867,             0.89397,             0.91641,             0.96255,             0.71967,            0.019131,            0.004125,            0.028712,           0.0082829,           0.0082829,           0.0082829
                  94,            0.021844,            0.010934,           0.0031762,             0.91831,             0.92782,             0.95946,             0.70742,            0.020885,           0.0044353,            0.023088,           0.0082483,           0.0082483,           0.0082483
                  95,            0.021791,            0.011078,           0.0032342,             0.93659,             0.94348,             0.96934,             0.73413,            0.020514,           0.0042765,            0.015921,           0.0082136,           0.0082136,           0.0082136
                  96,            0.021829,            0.011085,            0.003221,             0.95995,             0.93597,             0.97549,             0.71477,            0.020277,           0.0044885,             0.01376,           0.0081786,           0.0081786,           0.0081786
                  97,            0.021788,            0.010716,           0.0030159,             0.90029,             0.93571,             0.96905,             0.70968,            0.020147,           0.0043617,            0.020821,           0.0081433,           0.0081433,           0.0081433
                  98,            0.021938,            0.010892,           0.0029146,             0.96128,             0.94613,             0.97744,             0.71978,            0.020614,           0.0043518,            0.016958,           0.0081078,           0.0081078,           0.0081078
                  99,            0.022023,            0.010733,           0.0033238,             0.93292,             0.90776,             0.96192,             0.70905,            0.021106,            0.004807,            0.016823,           0.0080721,           0.0080721,           0.0080721
